dataset,method,run,ACC,F-score,Recall,DCV,time_s
haberman,kmeans,0,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0046
haberman,kmeans,1,0.5163398692810458,0.48454359207830644,0.5130864197530864,0.026143790849673203,0.0032
haberman,kmeans,2,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0027
haberman,kmeans,3,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.005
haberman,kmeans,4,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0026
haberman,kmeans,5,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0024
haberman,kmeans,6,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.0019
haberman,kmeans,7,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0022
haberman,kmeans,8,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.002
haberman,kmeans,9,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0019
haberman,kmeanspp,0,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0265
haberman,kmeanspp,1,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.0019
haberman,kmeanspp,2,0.5228758169934641,0.4897203947368421,0.5175308641975309,0.0392156862745098,0.0021
haberman,kmeanspp,3,0.5163398692810458,0.48454359207830644,0.5130864197530864,0.026143790849673203,0.0021
haberman,kmeanspp,4,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.0023
haberman,kmeanspp,5,0.7581699346405228,0.630217519106408,0.6182716049382716,0.7058823529411765,0.0021
haberman,kmeanspp,6,0.5130718954248366,0.4801555178035961,0.5069135802469136,0.032679738562091505,0.0033
haberman,kmeanspp,7,0.7483660130718954,0.621840242669363,0.6116049382716049,0.6862745098039216,0.0018
haberman,kmeanspp,8,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.0023
haberman,kmeanspp,9,0.5098039215686274,0.47757796494422944,0.5046913580246913,0.026143790849673203,0.0017
haberman,macw,0,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.0033
haberman,macw,1,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.002
haberman,macw,2,0.5588235294117647,0.4482215128160605,0.4471604938271605,0.42483660130718953,0.0024
haberman,macw,3,0.5555555555555556,0.4539442607463392,0.4528395061728395,0.39215686274509803,0.0019
haberman,macw,4,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.0019
haberman,macw,5,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.002
haberman,macw,6,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.0055
haberman,macw,7,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.0023
haberman,macw,8,0.5392156862745098,0.4634316200519829,0.4654320987654321,0.28104575163398693,0.0022
haberman,macw,9,0.7320261437908496,0.5250605693519079,0.5412345679012346,0.8496732026143791,0.0018
haberman,ictlb,0,0.7026143790849673,0.4425783204884396,0.48962962962962964,0.8954248366013072,0.0079
haberman,ictlb,1,0.673202614379085,0.4208055723803755,0.465679012345679,0.8496732026143791,0.008
