dataset,method,ACC,F-score,Recall,DCV,time_s
ecoli3,ictlb,0.8935,0.4797,0.5025,0.9917,0.007
ecoli3,kmeans,0.7265,0.6229,0.8347,0.2565,0.0024
ecoli3,kmeanspp,0.7265,0.6229,0.8347,0.2565,0.0021
ecoli3,macw,0.7976,0.6113,0.7368,0.5286,0.003
haberman,ictlb,0.6859,0.4341,0.4783,0.8621,0.0071
haberman,kmeans,0.5127,0.4801,0.5071,0.0307,0.0028
haberman,kmeanspp,0.5611,0.5097,0.5293,0.1627,0.0046
haberman,macw,0.5621,0.4671,0.4699,0.3634,0.0025
shuttle-2vs5,ictlb,0.854,0.4585,0.4334,0.7376,0.0606
shuttle-2vs5,kmeans,0.7174,0.4376,0.5651,0.4403,0.0347
shuttle-2vs5,kmeanspp,0.7169,0.4374,0.5649,0.4393,0.0038
shuttle-2vs5,macw,0.7462,0.431,0.4239,0.5166,0.0362
vowel0,ictlb,0.9091,0.51,0.5211,0.9834,0.0202
vowel0,kmeans,0.7618,0.6356,0.839,0.3658,0.0098
vowel0,kmeanspp,0.7337,0.6156,0.8415,0.2949,0.0049
vowel0,macw,0.9114,0.5751,0.5604,0.9573,0.0167
